GammaVision Nuclide Library Suspect.Lib                         Page:   1
      697.00keV           29%            G-------
      856.70keV         17.6%            G-------
      593.00keV          7.5%            G-------
      989.30keV          6.8%            G-------
      573.80keV          6.7%            G-------
      297.30keV          4.5%            G-------
      675.00keV          3.7%            G-------
      278.60keV          2.4%            G-------
     1213.00keV         2.39%            G-------
      656.30keV         2.19%            G-------
      555.20keV         1.69%            G-------
      605.40keV       1.3944%            G-------
      223.80keV         1.39%            G-------
      954.00keV          1.2%            G-------
     1034.80keV            1%            G-------
      414.80keV            1%            G-------

    Te-131            25 Min.     0.1000 TFI-----
      149.72keV         68.8%            G-------
      452.32keV         18.2%            G-------
       28.61keV          6.9%            -X------
     1146.96keV         4.95%            G-------
      492.66keV         4.83%            G-------
      602.04keV         4.19%            G-------
       28.32keV          3.7%            -X------
      997.25keV        3.337%            G-------
       32.30keV         2.41%            -X------
      948.54keV         2.26%            G-------
      654.26keV        1.527%            G-------
      384.06keV        0.894%            G-------
      934.48keV        0.874%            G-------
     1007.96keV        0.798%            G-------
      342.95keV        0.702%            G-------
     1294.34keV        0.482%            G-------
      727.00keV        0.468%            G-------
      544.88keV        0.427%            G-------
      951.39keV         0.33%            G-------

    Te-132          76.9 Hrs.     0.1000 --I-----
      228.16keV           88%            G-------
       28.61keV           39%            -X------
       28.32keV         20.7%            -X------
       49.72keV           15%            G-------
       32.30keV         13.5%            -X------
      116.30keV         1.96%            G-------
      111.76keV         1.74%            G-------

     J-131         8.021 Days     0.1000 TFI-----
      364.49keV         81.7%            G-------
      636.99keV         7.17%            G-------
      284.30keV         6.14%            G-------
       80.18keV         2.62%            G-------
       29.78keV         2.56%            -X------
      722.91keV         1.77%            G-------
       29.46keV         1.38%            -X------
       33.60keV         0.91%            -X------
      503.00keV         0.36%            G-------
      325.79keV        0.274%            G-------
      177.21keV         0.27%            G-------
      642.72keV        0.217%            G-------
      318.09keV      0.07762%            G-------
      272.50keV      0.05776%            G-------
      404.81keV      0.05474%            G-------
      324.65keV      0.02124%            G-------
      358.40keV        0.016%            G-------
      449.60keV     0.007353%            G-------
      302.40keV     0.004739%            G-------

     J-132         137.7 Min.     0.1000 -FI-----
      667.72keV         98.7%            G-------
      772.60keV         75.6%            G-------
      954.55keV         17.6%            G-------
      522.65keV           16%            G-------
      630.19keV         13.3%            G-------
     1398.57keV         7.01%            G-------
      812.00keV          5.5%            G-------
      505.79keV         4.94%            G-------
      669.80keV          4.6%            G-------
      671.40keV          3.5%            G-------
      727.20keV          3.2%            G-------
     1136.00keV         3.01%            G-------
      809.50keV          2.6%            G-------
      650.50keV         2.57%            G-------
     1372.07keV         2.47%            G-------
      727.00keV          2.2%            G-------
     1295.10keV         1.88%            G-------
      728.40keV          1.6%            G-------
      621.20keV         1.58%            G-------
     1442.56keV          1.4%            G-------

     J-133          20.8 Hrs.     0.1000 --I-----
      529.87keV           87%            G-------
      875.33keV         4.51%            G-------
     1298.22keV         2.35%            G-------
      510.53keV         1.83%            G-------
     1236.44keV         1.51%            G-------
      706.58keV         1.51%            G-------
      856.28keV         1.24%            G-------
      680.25keV         0.65%            G-------
     1052.30keV        0.556%            G-------
      617.97keV        0.544%            G-------
      768.38keV         0.46%            G-------
      262.70keV        0.359%            G-------
      422.91keV        0.311%            G-------
       29.78keV        0.295%            -X------
      909.67keV        0.214%            G-------
       29.46keV        0.159%            -X------
      820.51keV        0.155%            G-------
      417.60keV        0.154%            G-------
     1350.38keV         0.15%            G-------
     1060.07keV        0.138%            G-------

     J-134          52.5 Min.     0.1000 -FI-----
      847.03keV         95.4%            G-------
      884.09keV         64.9%            G-------
     1072.55keV         14.9%            G-------
      595.36keV         11.1%            G-------
      621.79keV         10.6%            G-------
     1136.16keV          9.1%            G-------
      677.34keV          7.9%            G-------
      540.83keV         7.63%            G-------
      405.45keV         7.35%            G-------
      857.29keV         6.68%            G-------
     1806.84keV         5.53%            G-------
      974.67keV         4.77%            G-------
      135.40keV          4.3%            G-------
     1613.80keV         4.29%            G-------
      766.68keV         4.14%            G-------
      433.35keV         4.14%            G-------
      947.86keV            4%            G-------
     1741.49keV         2.56%            G-------
     1455.24keV         2.29%            G-------
      514.40keV         2.23%            G-------

     J-135          6.57 Hrs.     0.1000 --I-----
     1260.41keV         28.9%            G-------
     1131.51keV        22.74%            G-------
     1678.03keV         9.62%            G-------
     1457.56keV         8.73%            G-------
     1038.76keV         8.01%            G-------
     1791.20keV         7.77%            G-------
      546.56keV          7.2%            G-------
      836.80keV         6.73%            G-------
     1706.46keV         4.13%            G-------
     1124.00keV         3.64%            G-------
      417.63keV         3.55%            G-------
      288.45keV         3.12%            G-------
      220.50keV         1.76%            G-------
     1101.58keV         1.62%            G-------
     1566.41keV          1.3%            G-------
      972.60keV         1.21%            G-------
     1502.79keV         1.08%            G-------
     2408.65keV         0.96%            G-------
     1240.47keV         0.91%            G-------
      972.00keV          0.9%            G-------

    Xe-138         14.08 Min.     0.1000 --I-----
      258.41keV         31.5%            G-------
      434.56keV         20.3%            G-------
     1768.26keV         16.7%            G-------
     2015.82keV         12.3%            G-------
      396.51keV          6.3%            G-------
      153.86keV         5.95%            G-------
     2004.75keV         5.36%            G-------
      242.56keV          3.5%            G-------
     2252.26keV         2.29%            G-------
      401.36keV         2.17%            G-------
       30.97keV         1.92%            -X------
     1114.29keV         1.47%            G-------
     2079.17keV         1.44%            G-------
     1850.86keV         1.42%            G-------
       30.63keV         1.04%            -X------
      917.13keV         0.92%            G-------
       10.85keV          0.7%            G-------
       35.00keV         0.69%            -X------
     2321.90keV         0.62%            G-------

   Xe-131M         11.93 Days     0.1000 T-------
